
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
------------------------------------------------------------------------------------------
num_sale                    50,625     1.319        0.549          1              5       
Covid                       50,625     0.421        0.494          0              1       
Covid2                      50,625     0.373        0.484          0              1       
Cases                       21,330    301.725      558.964         0            4,021     
BathsFull                   50,625     1.907        0.891          0              17      
BathsHalf                   50,625     0.275        0.468          0              5       
BedsTotal                   50,625     2.713        1.457          0              25      
DOM                         50,625    44.202       58.805          0            1,402     
livSQFT                     50,625   1,330.156     829.901        120           17,408    
SQFTGarageCarport           50,625    163.936      229.119         0            5,000     
real.list.price             50,625  942,966.800  878,631.400   85,418.510   28,197,546.000
real.close.price            50,625  932,014.400  829,437.000   85,418.510   28,197,546.000
diff.price                  50,625   8,946.207   88,866.630  -2,010,000.000 6,900,000.000 
Basement                    50,625     0.013        0.111          0              1       
Split                       50,625     0.036        0.186          0              1       
PUD                         50,625     0.007        0.086          0              1       
LowRise                     50,625     0.092        0.289          0              1       
HighRise                    50,625     0.285        0.451          0              1       
Townhouse                   50,625     0.172        0.377          0              1       
Condotel                    50,625     0.035        0.184          0              1       
SingleFam                   50,625     0.418        0.493          0              1       
Duplex                      50,625     0.009        0.092          0              1       
MultiDwell                  50,625     0.018        0.131          0              1       
WalkUP                      50,625     0.045        0.206          0              1       
pool                        50,625     0.454        0.498          0              1       
Age                         50,625    36.708       19.786          0             123      
Age2                        50,625     1.739        1.560        0.000          15.129    
Age.r                       50,625     3.024        9.165          0              94      
SqftTotal                   50,625   1,472.424     980.201        175           23,350    
par_area                    50,625     3.132        5.969        0.014         128.918    
beach                       50,625     2.091        2.441        0.000          13.552    
park                        50,625     0.427        0.312        0.000          3.560     
hospital                    50,625     4.128        3.966        0.010          20.997    
airport                     50,625     9.071        5.601        0.993          30.986    
elem_sch                    50,625     1.169        4.510        0.016         196.490    
mid_sch                     50,625     2.204        1.592        0.037          17.684    
high_sch                    50,625     2.174        1.515        0.034          17.684    
per_white                   50,625     0.245        0.177        0.000          0.850     
per_black                   50,625     0.021        0.034        0.000          0.261     
per_asian                   50,625     0.429        0.197        0.000          1.000     
per_hawaian                 50,625     0.070        0.101        0.000          0.695     
per_occupied                50,625     0.880        0.165        0.0004         1.000     
per_vacant                  50,625     0.118        0.163        0.000          0.893     
per_owner                   50,625     0.665        0.203        0.000          1.000     
per_renter                  50,625     0.333        0.203        0.000          1.000     
HOA                         50,625    18.009       47.334          0            1,000     
Elevator                    50,625     0.703        1.533          0              36      
remod                       50,625     0.402        0.490          0              1       
lat                         50,625 2,361,427.000  7,592.603  2,350,907.000  2,400,056.000 
lon                         50,625  612,731.900  13,288.300   579,824.200    638,667.700  
PropertyTypeCondo_Townhouse 50,625     0.546        0.498          0              1       
PropertyTypeSingle Family   50,625     0.454        0.498          0              1       
StoriesOne                  50,625     0.340        0.474          0              1       
StoriesTwo                  50,625     0.348        0.476          0              1       
StoriesMulti                50,625     0.312        0.463          0              1       
year                        50,625   2,019.038      2.009        2,016          2,023     
LUCResidential              50,625     0.456        0.498          0              1       
LUCAgriculture              50,625     0.008        0.089          0              1       
LUCApartment-HD             50,625     0.029        0.168          0              1       
LUCApartment-LD             50,625     0.160        0.366          0              1       
LUCApartment-MD             50,625     0.163        0.369          0              1       
LUCBusiness                 50,625     0.036        0.187          0              1       
LUCOther                    50,625     0.118        0.323          0              1       
LUCResort                   50,625     0.030        0.172          0              1       
condAverage                 50,625     0.192        0.394          0              1       
condExcellent               50,625     0.337        0.473          0              1       
condAbove Average           50,625     0.424        0.494          0              1       
condFair                    50,625     0.047        0.212          0              1       
Parking0                    50,625     0.056        0.230          0              1       
Parking1                    50,625     0.255        0.436          0              1       
Parking2                    50,625     0.472        0.499          0              1       
Parking3                    50,625     0.060        0.238          0              1       
Parking4                    50,625     0.119        0.324          0              1       
Parking5 or More            50,625     0.037        0.188          0              1       
fld_zoneAE                  50,625     0.128        0.334          0              1       
fld_zoneA                   50,625     0.006        0.076          0              1       
fld_zoneAH                  50,625     0.002        0.043          0              1       
fld_zoneAO                  50,625     0.042        0.201          0              1       
fld_zoneD                   50,625     0.417        0.493          0              1       
fld_zoneVE                  50,625     0.008        0.087          0              1       
fld_zoneX                   50,625     0.398        0.489          0              1       
------------------------------------------------------------------------------------------

=========================================================================================
Statistic                     N        Mean       St. Dev.        Min           Max      
-----------------------------------------------------------------------------------------
num_sale                    29,295     1.316        0.549          1             5       
Covid                       29,295     0.000        0.000          0             0       
Covid2                      29,295     0.001        0.038          0             1       
BathsFull                   29,295     1.892        0.865          0             17      
BathsHalf                   29,295     0.277        0.465          0             5       
BedsTotal                   29,295     2.694        1.418          0             18      
DOM                         29,295    50.779       59.033          0           1,402     
livSQFT                     29,295   1,318.576     802.512        160          17,408    
SQFTGarageCarport           29,295    161.067      228.429         0           5,000     
real.list.price             29,295  911,437.500  844,248.000  99,684.440   28,197,546.000
real.close.price            29,295  893,794.200  793,484.800  118,448.600  28,197,546.000
diff.price                  29,295  14,495.070   68,263.400   -1,850,000     2,950,000   
Basement                    29,295     0.011        0.105          0             1       
Split                       29,295     0.036        0.186          0             1       
PUD                         29,295     0.008        0.088          0             1       
LowRise                     29,295     0.094        0.292          0             1       
HighRise                    29,295     0.280        0.449          0             1       
Townhouse                   29,295     0.176        0.381          0             1       
Condotel                    29,295     0.036        0.186          0             1       
SingleFam                   29,295     0.417        0.493          0             1       
Duplex                      29,295     0.009        0.095          0             1       
MultiDwell                  29,295     0.015        0.122          0             1       
WalkUP                      29,295     0.046        0.209          0             1       
pool                        29,295     0.453        0.498          0             1       
Age                         29,295    34.924       19.527          0            112      
Age2                        29,295     1.601        1.478        0.000         12.544    
Age.r                       29,295     2.794        8.744          0             88      
SqftTotal                   29,295   1,457.672     947.469        195          23,350    
par_area                    29,295     3.125        5.897        0.014        128.918    
beach                       29,295     2.130        2.485        0.000         13.552    
park                        29,295     0.427        0.308        0.000         3.302     
hospital                    29,295     4.087        3.896        0.010         20.997    
airport                     29,295     9.047        5.600        0.993         30.003    
elem_sch                    29,295     1.178        4.645        0.026        196.490    
mid_sch                     29,295     2.195        1.581        0.043         17.684    
high_sch                    29,295     2.169        1.498        0.034         17.684    
per_white                   29,295     0.245        0.179        0.000         0.850     
per_black                   29,295     0.022        0.035        0.000         0.261     
per_asian                   29,295     0.429        0.197       0.0002         1.000     
per_hawaian                 29,295     0.069        0.100        0.000         0.695     
per_occupied                29,295     0.882        0.167       0.0004         1.000     
per_vacant                  29,295     0.117        0.165        0.000         0.893     
per_owner                   29,295     0.669        0.200       0.0004         1.000     
per_renter                  29,295     0.330        0.200        0.000         0.986     
HOA                         29,295    17.755       45.566          0            667      
Elevator                    29,295     0.706        1.566          0             36      
remod                       29,295     0.379        0.485          0             1       
lat                         29,295 2,361,443.000  7,533.682  2,350,907.000 2,400,056.000 
lon                         29,295  612,541.900  13,175.420   579,824.200   638,667.700  
PropertyTypeCondo_Townhouse 29,295     0.547        0.498          0             1       
PropertyTypeSingle Family   29,295     0.453        0.498          0             1       
StoriesOne                  29,295     0.345        0.475          0             1       
StoriesTwo                  29,295     0.351        0.477          0             1       
StoriesMulti                29,295     0.304        0.460          0             1       
year                        29,295   2,017.564      1.168        2,016         2,020     
LUCResidential              29,295     0.455        0.498          0             1       
LUCAgriculture              29,295     0.008        0.089          0             1       
LUCApartment-HD             29,295     0.027        0.163          0             1       
LUCApartment-LD             29,295     0.165        0.371          0             1       
LUCApartment-MD             29,295     0.157        0.364          0             1       
LUCBusiness                 29,295     0.037        0.188          0             1       
LUCOther                    29,295     0.118        0.323          0             1       
LUCResort                   29,295     0.033        0.178          0             1       
condAverage                 29,295     0.189        0.391          0             1       
condExcellent               29,295     0.355        0.479          0             1       
